,AUC ROC,Algorithm,Avg. Precision,Fold,Time
157,0.5976028807086446,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.424850012424632,4,483.90331013100507
158,0.6112954565517789,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.44859382213394605,4,456.9732858380012
159,0.6145969340838984,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.4424363271009156,4,479.90407234401215
160,0.6074786650058872,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.4496497682861856,4,461.8043563990068
161,0.6121996939013572,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.44607901686412665,4,485.59128541700187
162,0.6140964851302453,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.4482369959131135,4,468.18433656700654
163,0.603674198043979,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.4407120026788892,4,483.1944145979942
164,0.6065733372638404,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.43718646328287175,4,454.7370836960035
165,0.6070924348805361,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.44025765944707496,4,479.81146759400144
166,0.6117792993351364,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4545920809043926,4,457.9123240500048
167,0.6082733666751068,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.44621881473683145,4,478.2751221449871
168,0.6131813394646349,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4525812426899993,4,473.5957198969991
169,0.6223392052087521,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4485868737470515,4,489.17596414299624
170,0.5886970806483985,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.4206983657533217,4,496.6232959619956
171,0.5932133159300311,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.42221346675588417,4,542.8901821970067
172,0.5906630546763119,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.42343802523872703,4,515.1109474390105
173,0.5954674204320082,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.4265611392970121,4,543.723618575008
174,0.5963124477304427,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.4276805206271817,4,509.14987510901113
175,0.5984763942960369,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.43131200451667095,4,541.3426208919991
176,0.5900347348086777,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.4244043732240632,4,507.83313764899503
177,0.5904692461683624,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.4200429512279239,4,532.8235305580021
178,0.5936600780662019,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.4245288083330925,4,501.9232581740071
179,0.5970642048959214,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4288633743943974,4,557.0856984249987
180,0.5888873815037594,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.4187314990136653,4,520.222982983003
181,0.5947781944202268,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.4253646810774695,4,553.2031095550046
182,0.5923805084103427,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4245659852679076,4,495.94201969000284
183,0.5828375427137761,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.4146475194033492,4,544.8602994730027
184,0.5931441399880817,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.4251769979552552,4,506.78003182000253
185,0.5918794176625743,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.42501053487892265,4,550.4874273899914
186,0.58967615675735,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.4191382678892665,4,510.4174480110087
187,0.5941086703840844,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.42524086353837903,4,551.0304098469933
188,0.5962913267862916,Our model,0.43430867385797306,4,82.02763101400342
189,0.5587034536475274,Barbera model,0.4042034018662193,4,73.19383017899236
190,0.6131310858878163,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4425645246927471,5,462.33650734400726
191,0.6029532654622174,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.43355133227240705,5,481.424617318
192,0.6058183221930102,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4358118039347128,5,470.4279804079997
193,0.5939611802858435,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.4254857532907614,5,489.04747814600717
194,0.6105841667920939,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4437896826584807,5,481.7261473859981
195,0.6029220334693666,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.4392530372395189,5,488.844618025003
196,0.610852748576048,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.438312553118724,5,461.30877102000517
197,0.5950702603211057,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.4313159280387544,5,482.40472057300207
198,0.6010785128673605,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.4331743144158545,5,471.927947632008
199,0.601117823657804,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.4290060204666272,5,489.0414449499949
200,0.599780736561815,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.4294805538799589,5,478.9444464690023
201,0.5900241758802485,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.4237398951709265,5,489.3090100949921
202,0.613310916892914,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.4451968244012201,5,462.14955917700723
203,0.6022859283775208,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.4311032270458169,5,481.030547574992
204,0.6029407712662789,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4430315727235941,5,471.00891210499685
205,0.6088276029181008,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.4449942989987233,5,489.6851896680018
